Team,Image URL,day 13: ME-MSFP,day 13: GO-OPL,day 13: KC-LDLC,day 13: VITB-BDSA,day 13: SLY-ME,day 14: MSFP-GW,day 14: ME-VITB,day 14: LDLC-MSFP,day 14: BDSA-GW,day 14: GO-KC,day 15: GO-OPL,day 15: BDSA-ME,day 15: MSFP-VITB,day 15: KC-GW,day 15: GO-SLY,day 16: LDLC-OPL,day 16: ME-OPL,day 16: BDSA-GO,day 16: LDLC-VITB,day 16: ME-GW,day 17: KC-OPL,day 17: MSFP-SLY,day 17: GO-ME,day 17: VITB-KC,day 17: LDLC-SLY,day 18: BDSA-MSFP,day 18: OPL-GW,day 18: MSFP-GO,day 18: KC-SLY,day 18: BDSA-LDLC,day 19: GW-VITB
LDLC,,99.46776069700718,99.35523392632604,99.37708843499422,99.63771887123585,99.98976588249207,99.98762011528015,99.99021291732788,99.99442100524902,99.99547004699707,99.99094009399414,99.98188018798828,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
VITB,,99.2012158036232,98.93889483064413,98.95582534372807,99.06768649816513,99.21946227550507,98.54183197021484,98.54797720909119,98.31275939941406,99.83010292053223,99.8056411743164,99.80545043945312,99.80545043945312,99.87258911132812,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
KC,,96.3470133036996,95.93578659308454,92.80068535978594,92.84313601752122,93.85673940181732,93.52038939793906,93.48965366681418,93.85398308436076,94.42537625630696,98.48987261454265,98.11499913533528,98.10927708943684,97.4911371866862,99.97558593750001,99.951171875,99.90234375,99.90234375,99.90234375,99.80468750000001,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
BDSA,,84.07314179309955,81.89969599867861,80.62347235778968,93.01651785771053,93.23407476147015,92.4379457036654,93.23439280192059,93.39776118596394,88.64030043284099,88.48657608032227,86.01004282633463,86.0078493754069,84.99889373779297,86.004638671875,85.546875,94.677734375,94.677734375,94.62890625000001,98.82812500000001,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
MSFP,,83.69539363930623,81.32730211752157,80.61837805435061,80.87113743027051,73.05058951179187,72.94561952352524,90.16194423039754,89.52646732330322,90.10237058003744,90.19244511922201,88.47637176513672,88.4927749633789,87.08101908365886,89.26391601562501,94.47021484375,93.65234375000001,91.60156250000001,91.40625,91.40625,92.578125,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
SLY,,60.297813912232726,72.51802786874275,72.12803379322092,75.33539665242036,75.87812458475432,73.28769157330196,75.26145259539287,91.03835503260295,90.95717271169028,90.57985941569011,87.97200520833333,87.93891270955405,77.32741038004558,77.679443359375,77.044677734375,78.1494140625,72.802734375,74.609375,74.31640625,62.3046875,76.5625,75.0,75.0,62.5,62.5,37.5,25.0,25.0,0.0,0.0,0.0
GW,,56.213949490338564,52.18651221754651,52.85265101119876,36.595609237750374,40.8649634818236,40.31301726897558,18.785159587860107,16.61533196767171,15.697987874348959,13.43849500020345,13.23239008585612,13.227240244547525,13.760948181152344,4.089355468749999,2.77099609375,2.1484375,2.1484375,4.296875,4.39453125,6.8359375,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ME,,11.234138254076242,9.703214652836323,9.399551898241043,9.532883390784264,9.765470027923584,15.102231502532959,16.025513410568237,4.072749614715576,5.277919769287109,4.891109466552734,4.45709228515625,4.45709228515625,4.506683349609375,4.766845703125,4.632568359375,0.439453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GO,,9.469549264758825,8.13533179461956,13.24431374669075,13.09991404414177,14.140810072422028,13.86365294456482,14.503693580627441,13.18817138671875,15.073299407958984,14.12506103515625,21.94976806640625,21.961402893066406,34.96131896972656,38.22021484375,35.58349609375,31.0302734375,38.8671875,35.15625,31.25,38.28125,17.1875,25.0,25.0,37.5,37.5,62.5,75.0,75.0,100.0,100.0,100.0
OPL,,2.384185791015625e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
